INFO,Title,Nasopharyngeal Carcinoma (NPC) Data Dictionary,,,,,,,,,
INFO,Name,npc_v1.0,,,,,,,,,
INFO,Release Notes,,,,,,,,,,
INFO,Parent Model,pcdc_v2.0,,,,,,,,,
INFO,License,Creative Commons Attribution-NonCommercial 4.0 International License (https://creativecommons.org/licenses/by-nc/4.0/),,,,,,,,,
INFO,Modeling Wiki,https://docs.pedscommons.org/,,,,,,,,,
INFO,Consortium Info,https://commons.cri.uchicago.edu/pcdc/,,,,,,,,,
INFO,Description,,,,,,,,,,
INFO,Total Variables,,,,,,,,,,
,,,,,,,,,,,
RowType,VariableName,DataType,Tier,VariableDescription,VariableCode,PermissibleValue,ValueDescription,ValueCode,ImplementationNotes,Mappings,Modeling notes (Will be ignored in processing)
PD,,,,,,Paraganglioma / Pheochromocytoma,,,,,
PD,,,,,,Parathyroid Carcinoma / Adenoma,,,,,
PD,,,,,,Pineoblastoma,,,,,
PD,,,,,,Pituitary Adenoma / Tumor,,,,,
PD,,,,,,Pituitary Blastoma,,,,,
PD,,,,,,Pleuropulmonary Blastoma,,,,,
PD,,,,,,Psoriasis,"An autoimmune condition characterized by red, well-delineated plaques with silvery scales that are usually on the extensor surfaces and scalp. They can occasionally present with these manifestations: pustules; erythema and scaling in intertriginous areas, and erythroderma, that are often distributed on extensor surfaces and scalp.",ncit:C3346,,,
PD,,,,,,RB Transcriptional Corepressor 1,"The protein encoded by this gene is a negative regulator of the cell cycle and was the first tumor suppressor gene found. The encoded protein also stabilizes constitutive heterochromatin to maintain the overall chromatin structure. The active, hypophosphorylated form of the protein binds transcription factor E2F1. Defects in this gene are a cause of childhood cancer retinoblastoma (RB), bladder cancer, and osteogenic sarcoma.",ncit:C17360,,,
PD,,,,,,Renal Cell Carcinoma,,,,,
PD,,,,,,Retinoblastoma,"A malignant tumor that originates in the nuclear layer of the retina. As the most common primary tumor of the eye in children, retinoblastoma is still relatively uncommon, accounting for only 1% of all malignant tumors in pediatric patients. Approximately 95% of cases are diagnosed before age 5. These tumors may be multifocal, bilateral, congenital, inherited, or acquired. Seventy-five percent of retinoblastomas are unilateral; 60% occur sporadically. A predisposition to retinoblastoma has been associated with 13q14 cytogenetic abnormalities. Patients with the inherited form also appear to be at increased risk for secondary nonocular malignancies such as osteosarcoma, malignant fibrous histiocytoma, and fibrosarcoma.",ncit:C7541,,,
PD,,,,,,Rhabdoid Tumor,,,,,
PD,,,,,,Rhabdomyosarcoma with Diffuse Anaplasia,,,,,
PD,,,,,,Rothmund-Thomson Syndrome,"An autosomal recessive inherited syndrome usually caused by mutations in the RECQL4 gene. It is characterized by poikilodermatous skin changes, sparse hair, cataracts, small stature, skeletal abnormalities, and an increased predisposition to cancer, particularly osteosarcoma.",ncit:C3335,,,
PD,,,,,,Schwannoma,,,,,
PD,,,,,,Schwannomatosis,Rare genetic disorder caused by mutations in the SMARCB1 and LZTR1 genes. It is characterized by the presence of multiple Schwannomas.,ncit:C6557,,,
PD,,,,,,Scleroderma,"A localized or systemic chronic and progressive autoimmune disorder characterized by thickening of the skin and the connective tissues. Localized scleroderma affects only the skin. Systemic scleroderma affects internal organs, including the heart, lungs, gastrointestinal tract, and kidneys.",ncit:C26746,,,
PD,,,,,,"Secondary Malignancy, NOS","A malignant neoplasm that arises from a pre-existing lower grade lesion/tumor, or as a result of a primary lesion/tumor that has spread to secondary sites, or due to a complication of a cancer treatment.",ncit:C4968,,,
PD,,,,,,Sertoli-Leydig Cell Tumor,,,,,
PD,,,,,,Sex Cord Stromal Tumor With Annular Tubules,,,,,
PD,,,,,,Small Cell Carcin Of The Ovary Hypercalcemic Type,,,,,
PD,,,,,,Squamous Cell Carcinoma,,,,,
PD,,,,,,Subependymal Giant Cell Astrocytoma,,,,,
PD,,,,,,Swyer Syndrome,A rare syndrome characterized by the presence of a small lung as a result of unilateral post-infectious bronchiolitis obliterans.,ncit:C85178,,,
PD,,,,,,Systematic Lupus Erythematosus,An autoimmune multi-organ disease typically associated with vasculopathy and autoantibody production. Most patients have antinuclear antibodies (ANA). The presence of anti-dsDNA or anti-Smith antibodies are highly-specific.,ncit:C3201,,,
PD,,,,,,Thyroid Carcinoma (Non-Medullary),,,,,
PD,,,,,,Transient Myeloproliferative Disease,,,,,
PD,,,,,,Trisomy 21,A chromosomal abnormality consisting of the presence of a third copy of chromosome 21 in somatic cells.,ncit:C43224,,,
PD,,,,,,Trisomy 21 Mosaicism,The presence of cells with and without three copies of chromosome 21 in either somatic or germinal tissue.,ncit:C142099,,,
PD,,,,,,Turner Syndrome,"A gonadal dysgenesis syndrome occurring in phenotypic females, characterized by the absence of a part or all of one of the sex chromosomes. Signs and symptoms include short stature, webbing of neck, low-set ears, hypogonadism, and sterility.",ncit:C26900,,,
PD,,,,,,Vitiligo,Generalized well circumscribed patches of leukoderma that are generally distributed over symmetric body locations and is due to autoimmune destruction of melanocytes.,ncit:C26915,,,
PD,,,,,,WAGR Syndrome,"A very rare congenital condition involving the complex of Wilms tumor, aniridia, genitourinary abnormalities, and mental retardation. Wilms Tumor-Aniridia-Genitourinary Anomalies-Mental Retardation (WAGR) syndrome involves deletions of several adjacent genes in chromosome region 11p13. Two or more of the four conditions must be present for an individual to be diagnosed with WAGR Syndrome. The clinical picture varies, depending upon the combination of abnormalities.",ncit:C3718,,,
PD,,,,,,Werner Syndrome,"A rare, autosomal recessive syndrome caused by mutations in the WRN gene. It is characterized by the appearance of accelerated aging following puberty. It is associated with the development of diabetes mellitus, atherosclerosis, cataracts, and cancer.",ncit:C3447,,,
,,,,,,,,,,,
,,,,,,,,,,,
DD,Demographics,,,,,,,,,,
TD,Survival Characteristics,,Priority,,,,,,,,
TG,One row per last known survival status if subject is alive or cause of death if patient is deceased,,,,,,,,,,
VD,HONEST_BROKER_SUBJECT_ID,String,Mandatory,"The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a ""re-identification code""), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.",ncit:C168949,_undefined_,_undefined_,_undefined_,,,
VD,AGE_AT_LKSS,Integer,Mandatory,The age (in days) when the last known survival status of the subject was captured.,ncit:C168844,_undefined_,_undefined_,_undefined_,,,
VD,TIME_PERIOD_SUBMITTER_ID,String,Optional,"This is the SUBMITTER_ID of the time period (defined in the ""Time Period"" table) during which this observation takes place.",,_undefined_,_undefined_,_undefined_,ConditionalStatement: Mandatory if age at observation is not known.,,
VD,LKSS,Enum,Mandatory,The last known survival status of the subject.,ncit:C168931,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,Alive,Showing characteristics of life; displaying signs of life.,ncit:C37987,,,
PD,,,,,,Dead,The cessation of life.,ncit:C28554,,,
PD,,,,,,Not Reported,Not provided or available.,ncit:C43234,,,
VD,LKSS_WITH_DISEASE,Enum,Optional,Did the subject still have measurable/evaluable disease at the LKSS?,ncit:C178074,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,Yes,The affirmative response to a question.,ncit:C49488,,,
PD,,,,,,No,The non-affirmative response to a question.,ncit:C49487,,,
PD,,,,,,Not Reported,Not provided or available.,ncit:C43234,,,
VD,CAUSE_OF_DEATH,Enum,Optional,The circumstance or condition that results in the death of a living being.,ncit:C81239,_undefined_,_undefined_,_undefined_,"D4CGNote: If multiple causes of death, include one observation per cause of death. However, only one cause of death can have the varaiable CAUSE_OF_DEATH_RANKING=Primary | ConditionalStatement: If 'LKSS' is 'Dead'.",,
PD,,,,,,Disease Progression,An indication that the subject has died due to the progression of their disease.,ncit:C168970,,,
PD,,,,,,Post-Treatment Disease Complications,A complication of the disease that occurred after treatment.,ncit:C168877,,,ML: Same as infection? Toxicity?
PD,,,,,,Treatment-Related Mortality,A death that is considered to be causally linked to a treatment.,ncit:C166165,D4CGNote: Use the Adverse Events table for any additional details. Do not use CAUSE_OF_DEATH_DETAIL.,,
PD,,,,,,Secondary Malignancy,"A malignant neoplasm that arises from a pre-existing lower grade lesion/tumor, or as a result of a primary lesion/tumor that has spread to secondary sites, or due to a complication of a cancer treatment.",ncit:C4968,D4CGNote: Use the Subsequent Malignant Neoplasm table for any additional details. Do not use CAUSE_OF_DEATH_DETAIL.,,
PD,,,,,,Unrelated to Disease or Treatment,The cause of death of the subject is unrelated to the disease or treatment that was given.,,,,
PD,,,,,,Unknown,Reported as unknown by the data contributor.,ncit:C17998,,,
PD,,,,,,Not Reported,Not provided or available.,ncit:C43234,,,
VD,TRM_TYPE,Enum,Optional,"If the mortality is treatment related, what type of treatment was involved?",ncit:C173260,_undefined_,_undefined_,_undefined_,"D4CGNote: If multiple treatment types, include one observation per treatment type. | ConditionalStatement: If 'LKSS' = 'Dead' and 'CAUSE_OF_DEATH' = 'Treatment-related mortality'.",,
PD,,,,,,Chemotherapy,The use of synthetic or naturally-occurring chemicals for the treatment of diseases.,ncit:C15632,,,
PD,,,,,,Radiation Therapy,,,,,
PD,,,,,,Immunotherapy,Therapy designed to induce changes in a patient's immune status in order to treat disease.,ncit:C15262,,,
PD,,,,,,Not Reported,Not provided or available.,ncit:C43234,,,
VD,CAUSE_OF_DEATH_DETAIL,Enum,Optional,The more granular reason for the CAUSE_OF_DEATH of the subject.,ncit:C168868,_undefined_,_undefined_,_undefined_,"D4CGNote: If multiple cause of death details, include one observation per cause of death detail. | ConditionalStatement: Only fill in this variable if LKSS = ""Dead"".",,
PD,,,,,,Bacterial Infection,"An acute infectious disorder that is caused by gram positive or gram negative bacteria; representative examples include pneumococcal, streptococcal, salmonella, and meningeal infections.",ncit:C2890,,,
PD,,,,,,Cardiac Disease,"A non-neoplastic or neoplastic disorder that affects the heart and/or the pericardium. Representative examples include endocarditis, pericarditis, atrial myxoma, cardiac myeloid sarcoma, and pericardial malignant mesothelioma.",ncit:C3079,,,
PD,,,,,,Fungal Infection,An infection caused by a fungus.,ncit:C3245,,,
PD,,,,,,Graft Versus Host Disease,"A reaction, which may be fatal, in an immunocompromised subject (host) who has received an antigenically incompatible tissue transplant (graft) from an immunocompetent donor. The reaction is secondary to the activation of the transplanted cells against those host tissues that express an antigen not expressed by the donor, and is seen most commonly following bone marrow transplantation; acute disease is seen after 5-40 days, and chronic disease occurs weeks to months after transplantation.",ncit:C3063,,,
PD,,,,,,Hemorrhage,The flow of blood from a ruptured blood vessel.,ncit:C26791,,,
PD,,,,,,"Infection, NOS","The invasion of an organism's body tissues by disease-causing agents and their multiplication, as well as the reaction by the host to these organisms and/or toxins that the organisms produce.",ncit:C128320,,,
PD,,,,,,Multi-Organ Failure,Complete impairment of two or more organs or organ systems.,ncit:C75568,,,
PD,,,,,,Pulmonary Disease,"A non-neoplastic or neoplastic disorder affecting the lung. Representative examples of non-neoplastic disorders include chronic obstructive pulmonary disease and pneumonia. Representative examples of neoplastic disorders include benign processes (e.g., respiratory papilloma) and malignant processes (e.g., lung carcinoma and metastatic cancer to the lung).",ncit:C3198,,,
PD,,,,,,Surgical Complication,"A disease or disorder that occurs during, soon after or as a result of a surgical procedure.",ncit:C164157,,,
PD,,,,,,Viral Infection,Any disease caused by a virus.,ncit:C3439,,,
PD,,,,,,Immunotherapy-Related,An observation that a situation is related to immunotherapy received.,ncit:C168874,,,
PD,,,,,,Not Reported,Not provided or available.,ncit:C43234,,,
VD,CAUSE_OF_DEATH_RANKING,Enum,Optional,Assigning a weighted relevance to the cause of death.,ncit:C168932,_undefined_,_undefined_,_undefined_,"D4CGNote: There may be multiple contributory causes of death, but only one primary cause of death. ConditionalStatement: Only fill in this variable if 'LKSS' = 'Dead'.",,
PD,,,,,,Primary,The first significant event which ultimately led to death.,ncit:C99531,,,
PD,,,,,,Contributory,Any adverse event contributing to the cause of death.,ncit:C168948,,,
PD,,,,,,Not Reported,Not provided or available.,ncit:C43234,,,
,,,,,,,,,,,
,,,,,,,,,,,
DD,Testing,,,,,,,,,,
TD,Vitals And Anthropometrics,,Optional,,,,,,,,
TG,One row per subject per vital or anthropometric measurement,,,,,,,,,,
VD,HONEST_BROKER_SUBJECT_ID,String,Mandatory,"The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a ""re-identification code""), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.",ncit:C168949,_undefined_,_undefined_,_undefined_,,,
VD,AGE_AT_MEASUREMENT,Integer,Mandatory,The age (in days) of the subject when the vitals measurement was taken.,ncit:C154628,_undefined_,_undefined_,_undefined_,,,
VD,TIME_PERIOD_SUBMITTER_ID,String,Optional,"This is the SUBMITTER_ID of the time period (defined in the ""Time Period"" table) during which this observation takes place.",,_undefined_,_undefined_,_undefined_,ConditionalStatement: Mandatory if age at observation is not known.,,
VD,MEASUREMENT_TYPE,Enum,Mandatory,The type of vital sign or anthropomorphic measurement being recorded,ncit:C49672,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,Weight,The weight of a subject.,ncit:C81328,,,
PD,,,,,,Height,The vertical measurement or distance from the base to the top of a subject or participant.,ncit:C164634,,,
PD,,,,,,BSA,"A measure of the 2-dimensional extent of the body surface (i.e., the skin). Body surface area (BSA) can be calculated by mathematical formula or from a chart that relates height to weight. BSA is often an important factor in dosing.",ncit:C25157,,,
VD,RESULT_NUMERIC,Decimal,Mandatory,The vital sign or anthropomorphic measurement being recorded (numeric).,ncit:C173268,_undefined_,_undefined_,_undefined_,D4CGNote: Only fill in this variable if the available data is a single numeric value.,,
VD,RESULT_UNIT,Enum,Priority,The units used for the vital sign or anthropomorphic measurement being recorded (numeric).,ncit:C49675,_undefined_,_undefined_,_undefined_,ConditionalStatement: If 'RESULT_NUMERIC' not null.,,
PD,,,,,,kg,"A basic SI unit of mass. It is defined as the mass of an international prototype in the form of a platinum-iridium cylinder kept at Sevres in France. A kilogram is equal to 1,000 grams and 2.204 622 6 pounds.",ncit:C28252,,,
PD,,,,,,cm,"A basic unit of length in the former CGS version of metric system, equal to one hundredth of a meter or approximately 0.393 700 787 inch",ncit:C49668,,,
PD,,,,,,m2,"A SI unit of area measurement equal to a square whose sides are one meter long. Square meter is equal to 10,000 square centimeters; 0.01 are; 1.196 square yards; 10.76 square feet; 1550 square inches.",ncit:C42569,,,
PD,,,,,,Not Reported,Not provided or available.,ncit:C43234,,,
,,,,,,,,,,,
,,,,,,,,,,,
DD,Testing,,,,,,,,,,
TD,Function Test,,Optional,,,,,,,,
TG,One row per subject per function test result,,,,,,,,,,
VD,HONEST_BROKER_SUBJECT_ID,String,Mandatory,"The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a ""re-identification code""), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.",ncit:C168949,_undefined_,_undefined_,_undefined_,,,
VD,AGE_AT_FUNCTION_TEST,Integer,Mandatory,The age (in days) of the subject at the time of the function test.,ncit:C185624,_undefined_,_undefined_,_undefined_,,,
VD,TIME_PERIOD_SUBMITTER_ID,String,Optional,"This is the SUBMITTER_ID of the time period (defined in the ""Time Period"" table) during which this observation takes place.",,_undefined_,_undefined_,_undefined_,ConditionalStatement: Mandatory if age at observation is not known.,,
VD,TEST,Enum,Mandatory,The function test used on the subject.,ncit:C186304,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,"Vestibular, cVEMP",,,,,
PD,,,,,,"Vestibular, VHIT",,,,,
PD,,,,,,"Cochlear, PEAP",,,,,
PD,,,,,,"Cochlear, OEAP",,,,,
PD,,,,,,"Audiogram, NOS",,,,,
VD,LATERALITY,Enum,Optional,,,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,Right,,,,,
PD,,,,,,Left,,,,,
VD,HZ_FREQUENCY,Enum,Optional,The hertz frequency at which the test is administered.,,_undefined_,_undefined_,_undefined_,"ConditionalStatement: If 'TEST' = 'Audiogram, NOS'.",,
PD,,,,,,500,,,,,
PD,,,,,,1000,,,,,
PD,,,,,,2000,,,,,
PD,,,,,,4000,,,,,
PD,,,,,,8000,,,,,
PD,,,,,,16000,,,,,
VD,RESULT,Enum,Priority,,,_undefined_,_undefined_,_undefined_,"ConditionalStatement: If 'TEST' = 'Vestibular, VHIT'.",,
PD,,,,,,Normal,,,,,
PD,,,,,,Abnormal,,,,,
VD,RESULT_NUMERIC,Decimal,Priority,The numeric result of the function test.,ncit:C185629,_undefined_,_undefined_,_undefined_,,,
VD,RESULT_UNIT,Enum,Optional,The unit of the numeric measurement of the function test.,,_undefined_,_undefined_,_undefined_,ConditionalStatement: If 'RESULT_NUMERIC' is not null.,,
PD,,,,,,%,A unit for expressing a number as a fraction of hundred (on the basis of a rate or proportion per hundred).,ncit:C48570,,,
PD,,,,,,dB,,,,,
VD,AVERAGE_LOSS_LOW,Decimal,Optional,,,_undefined_,_undefined_,_undefined_,,,
VD,AVERAGE_LOSS_HIGH,Decimal,Optional,,,_undefined_,_undefined_,_undefined_,,,
VD,GRADE,Enum,Optional,,,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,"SIOP Boston, Grade 0",≤20 dB all,,,,
PD,,,,,,"SIOP Boston, Grade 1",>20 dB at >4 kHz,,,,
PD,,,,,,"SIOP Boston, Grade 2",>20 dB at ≥4 kHz,,,,
PD,,,,,,"SIOP Boston, Grade 3",>20 dB at 2 or 3 kHz,,,,
PD,,,,,,"SIOP Boston, Grade 4",>40 dB at ≥2 kHz,,,,
PD,,,,,,"Chang, Grade 0","≤20 dB at 1, 2 and 4 kHz",,,,
PD,,,,,,"Chang, Grade 1a",≥40 dB at 6–12 kHz,,,,
PD,,,,,,"Chang, Grade 1b",>20 dB and <40 dB at 4 kHz,,,,
PD,,,,,,"Chang, Grade 2a",≥40 dB at ≥4 kHz,,,,
PD,,,,,,"Chang, Grade 2b",">20 and <40 dB at 1, 2 or 3 kHz",,,,
PD,,,,,,"Chang, Grade 3",≥40 dB at ≥2 or 3 kHz,,,,
PD,,,,,,"Chang, Grade 4",≥40 dB at ≥1 kHz,,,,
,,,,,,,,,,,
,,,,,,,,,,,
DD,Testing,,,,,,,,,,
TD,Laboratory Test,,Optional,,,,,,,,
TG,One row per subject per lab test result,,,,,,,,,,
VD,HONEST_BROKER_SUBJECT_ID,String,Mandatory,"The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a ""re-identification code""), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.",ncit:C168949,_undefined_,_undefined_,_undefined_,,,
VD,AGE_AT_LAB,Integer,Mandatory,The age (in days) of the subject at the time of the laboratory test.,ncit:C172691,_undefined_,_undefined_,_undefined_,,,
VD,TIME_PERIOD_SUBMITTER_ID,String,Optional,"This is the SUBMITTER_ID of the time period (defined in the ""Time Period"" table) during which this observation takes place.",,_undefined_,_undefined_,_undefined_,ConditionalStatement: Mandatory if age at observation is not known.,,
VD,CATEGORY,Enum,Optional,The category of laboratory test performed on the subject.,ncit:C83017,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,Peripheral Blood Analysis,A laboratory analysis of a sample of peripheral blood.,ncit:C173271,,,
PD,,,,,,Bone Marrow Analysis,A laboratory analysis of a sample of bone marrow.,ncit:C173273,,,
PD,,,,,,Cerebrospinal Fluid Analysis,A laboratory analysis of a sample of cerebrospinal fluid.,ncit:C173272,,,
VD,TEST,Enum,Mandatory,"A medical procedure that involves testing a sample of blood, urine, or other substance from the body. Tests can help determine a diagnosis, plan treatment, check to see if treatment is working, or monitor the disease over time.",ncit:C117142,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,Absolute Neutrophil Count,"The real number of white blood cells (WBC) that are neutrophils. It is derived by multiplying the WBC count by the percent of neutrophils in the differential WBC count. The normal range for ANC is 1.5 to 8.0 (1,500 to 8,000/mm3).",ncit:C63321,,,
PD,,,,,,Albumin,A quantitative measurement of albumin present in a sample.,ncit:C64431,,,
PD,,,,,,Alkaline Phophatase,A quantitative measurement of alkaline phosphatase present in a sample.,ncit:C64432,,,
PD,,,,,,ALP,A quantitative measurement of alkaline phosphatase present in a sample.,ncit:C64432,,,
PD,,,,,,ALT,A quantitative measurement of alanine aminotransferase present in a sample.,ncit:C64433,,,
PD,,,,,,ANC,"The real number of white blood cells (WBC) that are neutrophils. It is derived by multiplying the WBC count by the percent of neutrophils in the differential WBC count. The normal range for ANC is 1.5 to 8.0 (1,500 to 8,000/mm3).",ncit:C63321,,,
PD,,,,,,AST,A quantitative measurement of aspartate aminotransferase present in a sample.,ncit:C64467,,,
PD,,,,,,Calcium,A quantitative measurement of the amount of calcium present in a sample.,ncit:C64488,,,
PD,,,,,,Chloride,A quantitative measurement of the amount of chloride present in a sample.,ncit:C64495,,,
PD,,,,,,Creatinine,A quantitative measurement of the amount of creatinine present in a sample.,ncit:C64547,,,
PD,,,,,,Creatinine Clearance,"The determination of the clearance of endogenous creatinine, used for evaluating the glomerular filtration rate.",ncit:C25747,,,
PD,,,,,,Direct Bilirubin,The bilirubin is bound to glucuronide to form conjugated bilirubin (direct bilirubin). Direct Bilirubin measurement is accomplished by a colorimetric method. Direct Bilirubin in biological fluids reacts with sulfanilic acid at acidic pH to produce a red colored complex. The optical density of produced color has a direct relationship with Direct Bilirubin concentration in the solution.,ncit:C64481,,,
PD,,,,,,EBV DNA,The determination of the amount of Epstein-Barr virus DNA present in a sample.,ncit:C166035,,,MW: Which of these EBV tests are used for tumor samples?
PD,,,,,,EBV IgG,The determination of the amount of Epstein-Barr virus in a biological sample.,ncit:C184675,,,
PD,,,,,,EBV-PCR,,,,,
PD,,,,,,EBV-VCA-IgA-IFT,,,,,
PD,,,,,,EBER,The determination of the amount of Epstein-Barr early antigen present in a sample.,ncit:C96602,,,Epstein-Barr virus (EBV)-encoded small RNAs
PD,,,,,,Eosinophils,The determination of the number of eosinophils in a blood sample.,ncit:C64550,,,
PD,,,,,,Free T3,The determination of the amount of free triiodothyronine present in a sample.,ncit:C74787,,,
PD,,,,,,Free T4,The determination of the amount of free thyroxine present in a sample.,ncit:C74786,,,
PD,,,,,,GGT,A quantitative measurement of the amount of gamma glutamyl transpeptidase present in a sample.,ncit:C64847,,,
PD,,,,,,Glucose,The determination of the amount of glucose present in a sample.,ncit:C105585,,,
PD,,,,,,Hemoglobin,A quantitative measurement of the amount of hemoglobin present in a biospecimen.,ncit:C64848,,,
PD,,,,,,Lymphocytes,The determination of the number of lymphocytes in a blood sample.,ncit:C12535,,,
PD,,,,,,Monocytes,The determination of the number of monocytes in a blood sample.,ncit:C64823,,,
PD,,,,,,Neutrophils,A test to determine the number of neutrophils in a sample of blood.,ncit:C51950,,,
PD,,,,,,Platelets,The determination of the number of platelets in a biospecimen.,ncit:C51951,,,
PD,,,,,,Potassium,A quantitative measurement of the amount of potassium present in a sample.,ncit:C64853,,,
PD,,,,,,P16,An indication that CDKN2A-p16 expression has been detected in a sample using immunohistochemical techniques.,ncit:C158943,,,
PD,,,,,,Sialometry,,,,,
PD,,,,,,Sodium,A quantitative measurement of the amount of sodium present in a sample.,ncit:C64809,,,
PD,,,,,,Total Bilirubin,"The measurement of the total amount of bilirubin present in a particular substrate. The substrate most often tested is blood, but other fluids extracted from the body may be used periodically depending on the purpose of the test.",ncit:C38037,,,
PD,,,,,,TSH,A quantitative measurement of the amount of thyrotropin present in a sample.,ncit:C64813,,,
PD,,,,,,WBC,A test to determine the number of leukocytes in a biospecimen.,ncit:C51948,,,
VD,SPECIMEN,Enum,Optional,"The type of a material sample taken from a biological entity for testing, diagnostic, propagation, treatment or research purposes. This includes particular types of cellular molecules, cells, tissues, organs, body fluids, embryos, and body excretory substances.",ncit:C70713,_undefined_,_undefined_,_undefined_,,,
PD,,,,,,Blood,A small volume of blood removed for testing or storage.,ncit:C17610,,,
PD,,,,,,Tumor,The type of material sample taken from a biological entity for tumor findings assessment testing.,ncit:C119940,,,
PD,,,,,,Serum,A sample of serum collected for analysis.,ncit:C178987,,,
PD,,,,,,Not Reported,Not provided or available.,ncit:C43234,,,
VD,RESULT,Enum,Priority,The categorical result of the laboratory test.,ncit:C36292,_undefined_,_undefined_,_undefined_,ConditionalStatement: If 'RESULT_MODIFIER' and 'RESULT_NUMERIC' are null.,,"Per TROD, What does Positive/Negative mean? Results are never Negative per Enis"
PD,,,,,,Positive,"A finding of abnormality following an examination or observation confirming something, such as the presence of a disease, condition, or microorganism.",ncit:C35682,,,
PD,,,,,,Negative,"A finding of normality following an examination or investigation looking for the presence of a microorganism, disease, or condition.",ncit:C38757,,,"Same as ""undetected"" ?"
PD,,,,,,Not Reported,Not provided or available.,ncit:C43234,,,
VD,RESULT_TEXT,String,Priority,The string/text result of the laboratory test.,ncit:C36292,_undefined_,_undefined_,_undefined_,"D4CGNote: String result can include anything that is not a single numeric result, i.e. ""Positive"", ""Negative"", ""Present"", ""Absent"", ""Yes"", ""No"", ""Elevated,"" ""Depressed"", ""Above threshold"", ""Below threshold"", ranges, as well as bucketed categories, etc... | ConditionalStatement: If 'RESULT' and 'RESULT_NUMERIC' are null",,
VD,RESULT_NUMERIC,Decimal,Priority,The numeric result of the laboratory test.,ncit:C83320,_undefined_,_undefined_,_undefined_,ConditionalStatement: If 'RESULT' and 'RESULT_MODIFIER' are null.,,
VD,RESULT_UNIT,Enum,Optional,The unit of the numeric result of the laboratory test.,ncit:C173274,_undefined_,_undefined_,_undefined_,ConditionalStatement: If 'RESULT_NUMERIC' is not null.,,
PD,,,,,,g,The metric unit of mass equal to one thousandth of a kilogram. One gram equals approximately 15.432 grains or 0.035 273 966 ounce.,ncit:C48155,,,
PD,,,,,,Not Reported,Not provided or available.,ncit:C43234,,,
VD,COLLECTION_TIME,Decimal,Optional,"The time it takes to collect a sample for a laboratory test depends on the type of test, the patient's condition, and the laboratory's procedures.",,_undefined_,_undefined_,_undefined_,,,"Per TROD, is there a better format to report this?"
,,,,,,,,,,,
,,,,,,,,,,,
DD,Disease Attributes,,,,,,,,,,
TD,Disease Site Assessment,,Priority,,,,,,,,
TG,"One row per subject per evaluation and per lesion (local, regional or metastatic)",,,,,,,,,,
VD,HONEST_BROKER_SUBJECT_ID,String,Mandatory,"The identifier assigned to the subject by the honest broker. An individual, organization or system acting for, or on behalf of, a covered entity to collect and provide health information to research investigators in such a manner whereby it would not be reasonably possible for the investigators or others to identify the corresponding patients-subjects directly or indirectly. The honest broker cannot be one of the investigators. The information provided to the investigators by the honest broker may incorporate linkage codes to permit information collation and/or subsequent inquiries (i.e., a ""re-identification code""), however the information linking this re- identification code to the patient's identity must be retained by the honest broker and subsequent inquiries are conducted through the honest broker.",ncit:C168949,_undefined_,_undefined_,_undefined_,,,
VD,AGE_AT_DISEASE_SITE_ASSESSMENT,Integer,Mandatory,The age (in days) of the subject at the time of this disease site assessment.,ncit:C174997,_undefined_,_undefined_,_undefined_,,,
