Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
heartrate,vital_signs_and_other_body_measures,,text,Heart rate,,"Record heart rate from monitor or by counting pulse rate.  The suggested range is 0-300. Add date stamp for when assessed. Heart rate may be altered by trauma in a couple of ways. Tachycardia may indicate volume depletion, pain or stress, and higher heart rates have been found in patients that do not survive traumatic injuries. Bradycardia may be seen with elevated intracranial pressure. Pediatric-specific notes:  As a minimum, vital signs should be recorded on admission and further, on a daily basis during the acute phase after injury. For the basic datasets, we recommend recording the average and lowest blood pressure over a given period. In the ICU environment, recording blood pressure on an hourly basis is recommended, especially when intracranial pressure (ICP) is monitored in order to permit determination of CPP, calculated as mean arterial blood pressure (MABP) - ICP (intermediate data set).",number,0.0,300.0,,,,,,,,C01521
bldpressrdiastlmeasr,vital_signs_and_other_body_measures,,text,Blood pressure,,"Record blood pressure from the blood pressure monitor or measure manually by sphygmanometry. The suggested range is 0-300 mmHg. Add date stamp for when assessed.When hourly values are documented, we recommend to take readings at a fixed time point, for example the last minute of the hour. Exclude values which may be influenced by artifacts. Add date stamp for when assessed. The injured brain is often not able to pressure autoregulate normally, adequate perfusion may be more dependent on perfusion pressure; lower blood pressure and low perfusion pressure can aggravate ischemic damage to the injured brain whilst conversely a high blood pressure may lead to increased intracranial pressure and carries an increased risk of neurogenic lung edema. Hypotensive episodes before and after admission adversely affect outcome. In patients with severe traumatic brain injury, routine calculation of the cerebral perfusion pressure on an hourly basis is recommended. Pediatric-specific notes: As a minimum, vital signs should be recorded on admission and further, on a daily basis during the acute phase after injury. For the Core datasets, we recommend recording the average and lowest blood pressure over a given period. In the ICU environment, recording blood pressure on an hourly basis is recommended, especially when intracranial pressure (ICP) is monitored in order to permit determination of CPP, calculated as mean arterial blood pressure (MABP) - ICP (intermediate data set).",number,0.0,300.0,,,,,,,,C01507
bldpressrsystmeasr,vital_signs_and_other_body_measures,,text,Blood pressure,,"Record blood pressure from the blood pressure monitor or measure manually by sphygmanometry. The suggested range is 0-300 mmHg. Add date stamp for when assessed.When hourly values are documented, we recommend to take readings at a fixed time point, for example the last minute of the hour. Exclude values which may be influenced by artifacts. The injured brain is often not able to pressure autoregulate normally, adequate perfusion may be more dependent on perfusion pressure; lower blood pressure and low perfusion pressure can aggravate ischemic damage to the injured brain whilst conversely a high blood pressure may lead to increased intracranial pressure and carries an increased risk of neurogenic lung edema. Hypotensive episodes before and after admission adversely affect outcome. In patients with severe traumatic brain injury, routine calculation of the cerebral perfusion pressure on an hourly basis is recommended. Pediatric-specific notes: This element is recommended for pediatric studies. As a minimum, vital signs should be recorded on admission and further, on a daily basis during the acute phase after injury. For the basic datasets, we recommend recording the average and lowest blood pressure over a given period. In the ICU environment, recording blood pressure on an hourly basis is recommended, especially when intracranial pressure (ICP) is monitored in order to permit determination of CPP, calculated as mean arterial blood pressure (MABP) - ICP (intermediate data set).",number,0.0,300.0,,,,,,,,C01565
o2satmeasr,vital_signs_and_other_body_measures,,text,Oxygen saturation (%),,The suggested range is 0-100. Add date stamp for when assessed. Recommended for collection on admission and daily as required by protocol.,number,0.0,100.0,,,,,,,,C01554
wgtmeasr,vital_signs_and_other_body_measures,,text,Weight,,"The suggested range is 0-500 kg or 0-1000 lbs. Height and weight can be measured or estimated upon admission, or alternatively information may be obtained from relatives. Add date stamp for when assessed.    Recommend collection at least on date of TBI. Documentation of height and weight is motivated by two reasons: 1. the risk of (systemic) complications is greater in the presence of obesity; 2. body weight is important for calculating required doses of (study) medications.",number,0.0,500.0,,,,,,,,C01541
wgtuom,vital_signs_and_other_body_measures,,dropdown,Weight measurement,"1, Pounds | 2, Kilograms","Record the weight of the participant/subject. To be collected at the visit, not self-reported. If the participant/subject is in a wheelchair, measure the weight of the participant/subject plus the wheelchair, then the weight of the wheelchair alone to get the weight of the individual.",,,,,,,,,,,C01581
wgtmeasrmethdtyp,vital_signs_and_other_body_measures,,dropdown,Weight: Measurement Type,"1, Self-reported | 2, Measured","Choose one. Height and weight can be measured or estimated upon admission, or alternatively information may be obtained from relatives.  Documentation of height and weight is motivated by two reasons: 1. the risk of (systemic) complications is greater in the presence of obesity; 2. body weight is important for calculating required doses of (study) medications.",,,,,,,,,,,C01546
hgtmeasr,vital_signs_and_other_body_measures,,text,Height,,"The suggested range is 0-500 cm or 0-100 inches. Height and weight can be measured or estimated upon admission, or alternatively information may be obtained from relatives. Add date stamp for when assessed.  Documentation of height and weight is motivated by two reasons: 1. the risk of (systemic) complications is greater in the presence of obesity; 2. body weight is important for calculating required doses of (study) medications.",number,0.0,400.0,,,,,,,,C01522
hgtuom,vital_signs_and_other_body_measures,,dropdown,Unit of measure for height,"1, feet | 2, meters | 3, Inches | 4, Centimeters",,,,,,,,,,,,C01582
hgtmeasrmethdtyp,vital_signs_and_other_body_measures,,dropdown,Method measuring height,"1, Self-reported | 2, Measured","Choose one. Height and weight can be measured or estimated upon admission, or alternatively information may be obtained from relatives.  Documentation of height and weight is motivated by two reasons: 1. the risk of (systemic) complications is greater in the presence of obesity; 2. body weight is important for calculating required doses of (study) medications.",,,,,,,,,,,C01513
icpmonitorstartdatetime,vital_signs_and_other_body_measures,,text,ICP monitoring start date and time,,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html).  The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",datetime_seconds_ymd,,,,,,,,,,C01566
icpmonitorstoprsn,vital_signs_and_other_body_measures,,dropdown,Reason ICP monitoring was stopped,"1, Clinically improved/no longer required | 2, Patient considered unsalvageable/futility | 3, Monitor/catheter failure | 4, Patient died | 5, Unknown",Choose one. Documentation of the reason for stopping monitoring is relevant when interpreting measured values and their relation to therapy intensity.,,,,,,,,,,,C01567
icpmonitorprobtype,vital_signs_and_other_body_measures,,dropdown,Type of problem experienced during ICP monitoring,"1, Catheter obstruction/failure | 2, Suspicion of inaccurate measurement | 3, Accidental catheter removal | 4, Other, specify | 5, None",Choose all that apply. Recommend collection on a daily basis. Measured values may be influenced by catheter malfunction. It is therefore highly important to document possible problems in ICP monitoring.,,,,,,,,,,,C01569
icpmonitorstopdatetime,vital_signs_and_other_body_measures,,text,ICP monitoring stop date and time,,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html).  The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",datetime_seconds_ymd,,,,,,,,,,C01568
icpcathetrreviseind,vital_signs_and_other_body_measures,,dropdown,Was the intracranial pressure catheter indicator revised?,"1, Yes | 2, No | 3, Unknown",Choose one. To be completed on a daily basis.  Measured values may be influenced by catheter malfunction. It is therefore highly important to document possible problems in ICP monitoring.,,,,,,,,,,,C01570
icpcathetranatsite,vital_signs_and_other_body_measures,,dropdown,Intracranial pressure catheter atomic site,"1, Epidural | 2, Intraparenchymal | 3, Intraventricular | 4, Subdural | 5, Other, specify",Choose one. The reliability and comparability of measured values may in part depend on the device used.,,,,,,,,,,,C01571
icpdevicetype,vital_signs_and_other_body_measures,,dropdown,Intracranial pressure device type,"1, Intraparenchymal | 2, Other, specify | 3, Ventriculostomy",Choose one. The reliability and comparability of measured values may in part depend on the device used.,,,,,,,,,,,C01572
icpmeasr,vital_signs_and_other_body_measures,,text,Intracranial  pressure measurement,,Recommend collection during acute hospital care. The recommended reference range is -10 to 300 mmHg. Add date stamp for when assessed.,number,,,,,,,,,,C01573
icpmaxdailymeasr,vital_signs_and_other_body_measures,,text,Intracranial pressure maximum daily measurement,,"The suggested range is -10 to 300 mmHg. Recommend collection during acute hospital care. Add date stamp for when assessed. It is recommended to document the highest ICP, zeroing the ICP monitor at the level of the foramen of Monro and to relate all hourly data to date and time of injury, as being the only fixed time event across patients. Monitoring for and treating raised ICP is an important element in the management of patients with severe TBI. Pediatric-specific notes: As a minimum, vital signs should be recorded on admission and further, on a daily basis during the acute phase after injury. For the Core datasets, we recommend recording the average and lowest blood pressure over a given period. In the ICU environment, recording blood pressure on an hourly basis is recommended, especially when intracranial pressure (ICP) is monitored in order to permit determination of CPP, calculated as mean arterial blood pressure (MABP) - ICP (intermediate data set).  For valid comparison of results between patients and across studies, a common approach towards zeroing the ICP monitor should be agreed upon. For fluid coupled systems we suggest that the ICP monitor be zeroed to the level of the foramen of Monro.",number,,,,,,,,,,C01574
icpmeandailymeasr,vital_signs_and_other_body_measures,,text,Intracranial pressure mean daily measurement,,"The suggested range is -10 to 300 mmHg. Recommend collection during acute hospital care. Add date stamp for when assessed.  Record the average ICP on a daily basis. The average does not need to be the mathematical average of multiple measurements, but rather the value most representative of this 'daily' period. It is recommended to zero the ICP monitor at the level of the foramen of Monro and to relate all hourly data to date and time of injury, as being the only fixed time event across patients.Monitoring for and treating raised ICP is an important element in the management of patients with severe TBI.",number,,,,,,,,,,C01575
icpeps20mmhg5mindurct,vital_signs_and_other_body_measures,,text,Intracranial pressure episodes greater than 20 mmHg lasting longer than five minutes,,Recommend collection during acute hospital care. Add date stamp for when assessed.,number,,,,,,,,,,C01576
icpepisodover20mmhgct,vital_signs_and_other_body_measures,,text,Intracranial pressure episodes greater than 20 mmHG,,Recommend collection during acute hospital care. Add date stamp for when assessed.,number,,,,,,,,,,C01577
cerebrlperfuspressrval,vital_signs_and_other_body_measures,,text,Cerebral perfusion pressure value,,"Calculate Cerebral Perfusion Pressure using the formula CPP = MABP- ICPThis element is recommended for pediatric studies. In the ICU environment, recording blood pressure on an hourly basis is recommended, especially when intracranial pressure (ICP) is monitored in order to permit determination of CPP, calculated as mean arterial blood pressure (MABP) - ICP (supplemental data set).",number,,,,,,,,,,C01578
cerbrlperfsnprsreplwr60mmhgnum,vital_signs_and_other_body_measures,,text,Cerebral perfusion pressure episodes lower than 60 mmHg,,Recommend collection during acute hospital care. Add date stamp for when assessed.,number,,,,,,,,,,C01579
